route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1209980,5247,OCESN016825F0500512680,"16825",1,,
OCE1209980,5324,OCESN016829F0600612687,"16829",1,,
OCE1209980,167,OCESN016829F0700712686,"16829",1,,
OCE1209980,1628,OCESN016817F1001012667,"16817",1,,
OCE1209980,2385,OCESN016817F1301312666,"16817",1,,
OCE1209980,167,OCESN016823F0300312676,"16823",1,,
OCE1209980,5252,OCESN016821F0400412671,"16821",1,,
OCE1209980,424,OCESN016803F0600612646,"16803",1,,
OCE1209980,2385,OCESN016831F0800812694,"16831",1,,
OCE1209980,5240,OCESN016831F0500512693,"16831",1,,
OCE1209980,1290,OCESN016835F0700712701,"16835",1,,
OCE1209980,5349,OCESN016833F0400412698,"16833",1,,
OCE1209980,223,OCESN016803F0400412644,"16803",1,,
OCE1209980,4569,OCESN016803F0500512645,"16803",1,,
OCE1209980,5149,OCESN860268F0200245363,"860268",0,,
OCE1209980,5377,OCESN860252F0200245353,"860252",0,,
OCE1209980,5380,OCESN860252F0500545354,"860252",0,,
OCE1209980,1242,OCESN860256F0200245357,"860256",0,,
OCE1209980,167,OCESN860254F0200245356,"860254",0,,
OCE1209980,1270,OCESN860262F0200245359,"860262",0,,
OCE1209980,167,OCESN860266F0200245361,"860266",0,,
OCE1209980,2473,OCESN860214F0300345349,"860214",0,,
OCE1209980,1628,OCESN860212F0300345347,"860212",0,,
OCE1209980,167,OCESN860216F0200245350,"860216",0,,
OCE1209980,782,OCESN016824F1001012677,"16824",0,,
OCE1209980,833,OCESN016812F0700712657,"16812",0,,
OCE1209980,782,OCESN016830F0700712690,"16830",0,,
OCE1209980,167,OCESN860202F0300345344,"860202",0,,
OCE1209980,1270,OCESN016816F0300312662,"16816",0,,
OCE1209980,184,OCESN016816F0500512663,"16816",0,,
OCE1209980,5244,OCESN016812F0500512656,"16812",0,,
OCE1209980,184,OCESN016812F0800812658,"16812",0,,
OCE1209980,424,OCESN016816F0400412664,"16816",0,,
OCE1209980,5338,OCESN016822F0500512673,"16822",0,,
OCE1209980,5339,OCESN016822F0200212675,"16822",0,,
OCE1209980,5323,OCESN016820F0500512670,"16820",0,,
OCE1209980,5321,OCESN016820F0300312668,"16820",0,,
OCE1209980,5267,OCESN016812F0600612655,"16812",0,,
OCE1209980,424,OCESN016800F0400412642,"16800",0,,
OCE1209980,2197,OCESN016830F0800812691,"16830",0,,
OCE1209980,5329,OCESN016830F0600612692,"16830",0,,
OCE1209980,167,OCESN016804F0300312647,"16804",0,,
OCE1209980,5337,OCESN016802F0300312643,"16802",0,,
OCE1209980,5328,OCESN016830F0500512689,"16830",0,,
OCE1209980,184,OCESN016800F0300312641,"16800",0,,
OCE1209980,445,OCESN016808F0700712652,"16808",0,,
OCE1209980,5320,OCESN016808F0500512653,"16808",0,,
OCE1209980,167,OCESN016806F0300312650,"16806",0,,
OCE1209980,5138,OCESN016834F0500512700,"16834",0,,
OCE1209980,167,OCESN016836F0300312702,"16836",0,,
